Instance,LastWeek,Authority__column,Cohort__column,Degree__column,Hub__column,In-Degree__column,NumPosts__column,Out-Degree__column,Post Density__column,Post Duration__column,Subthreadstarter__column,Threadstarter__column,Week__column
1048,True,0.032446475,Coh2,0.025,0.0,0.05,0.08,0.0,0.393236,0.005353684,0.0,0.0,1.0
1049,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1050,False,0.0,Coh2,0.075,0.0529661,0.0,0.04,0.1,0.001,0.0,0.0,1.0,1.0
1051,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1052,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1053,False,0.146771025,Coh2,0.2,0.273722625,0.1,0.16,0.2,0.072759,0.057869474,0.0,1.0,4.0
1054,True,0.125944575,Coh2,0.1,0.33333335,0.05,0.12,0.1,0.00424599,0.743735789,0.0,1.0,5.0
1055,False,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,0.0225757,0.093253684,0.0,0.0,1.0
1056,True,0.0,Coh2,0.0,0.0,0.0,0.04,0.0,0.001,0.0,0.0,1.0,2.0
1057,False,0.056497175,Coh3,0.125,0.116009275,0.05,0.12,0.133333333,1.0,0.001643158,0.0,0.0,1.0
1058,True,0.0,Coh3,0.05,0.08591065,0.0,0.04,0.066666667,0.001,0.0,0.0,0.0,2.0
1059,True,0.0486697,Coh2,0.05,0.0,0.1,0.08,0.0,1.0,7.26316E-4,0.0,0.0,1.0
1060,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1061,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1062,True,0.0,Coh2,0.05,0.0529661,0.0,0.04,0.066666667,0.001,0.0,0.0,1.0,1.0
1063,True,0.056497175,Coh3,0.15,0.116009275,0.05,0.2,0.166666667,0.0061916,0.850048421,0.0,1.0,1.0
1064,False,0.032446475,Coh2,0.025,0.0,0.05,0.08,0.0,0.0276232,0.076213684,0.0,1.0,1.0
1065,False,0.084745775,Coh2,0.05,0.0,0.1,0.2,0.0,0.0221942,0.237141053,0.0,0.0,2.0
1066,False,0.11664075,Coh2,0.05,0.0,0.1,0.12,0.0,0.00711877,0.443601053,0.0,0.0,3.0
1067,False,0.09784735,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,4.0
1068,False,0.0,Coh2,0.05,0.166666675,0.0,0.08,0.066666667,0.00220402,0.955192632,0.0,0.0,5.0
1069,False,0.21276595,Coh2,0.1,0.4464286,0.05,0.16,0.1,0.0606254,0.069451579,1.0,0.0,6.0
1070,True,0.0,Coh2,0.1,0.0529661,0.0,0.04,0.133333333,0.001,0.0,0.0,1.0,1.0
1071,False,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1072,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1073,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1074,True,0.09784735,Coh2,0.4,0.18248175,0.05,0.2,0.5,0.0089359,0.588990526,0.0,1.0,4.0
1075,True,0.032446475,Coh2,0.025,0.0,0.05,0.04,0.0,0.001,0.0,0.0,0.0,1.0
1076,True,0.0,Coh2,0.025,0.0529661,0.0,0.04,0.033333333,0.001,0.0,0.0,1.0,1.0
1077,False,0.032446475,Coh2,0.075,0.1059322,0.05,0.08,0.066666667,0.585823,0.003593684,0.0,1.0,1.0
1078,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1079,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1080,True,0.146771025,Coh2,0.05,0.0,0.1,0.12,0.0,0.0588766,0.053635789,0.0,0.0,4.0
1081,False,0.0,Coh2,0.0,0.0,0.0,0.04,0.0,0.001,0.0,0.0,1.0,1.0
1082,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1083,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1084,False,0.0,Coh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
